Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth: GET /qr/generate,30,2,310,350.4546404008579,132.70020900381496,1153.2347509928513,189.46666666666667,0.5079459542855213,0.03386306361903475,310,360,420,450,500,580,1200,1200,1200,1200,1200
POST,auth: POST /login,131,110,5900,12490.941058946804,204.70387599925743,40819.886768003926,90.45801526717557,2.218030667046776,1.8624684990469114,5900,6500,23000,25000,32000,36000,37000,38000,41000,41000,41000
POST,form: POST /surveys,15,0,180,220.22999179850254,105.10983299900545,389.01249999616994,254.53333333333333,0.2539729771427606,0.0,180,290,320,340,360,390,390,390,390,390,390
POST,form: POST /surveys (batch),103,0,120,150.3714147181102,98.96141699573491,402.57487499911804,255.0,1.7439477763802897,0.0,120,140,170,180,230,300,360,380,400,400,400
POST,gateway: POST /gate/validate (invalid QR),25,0,190,240.02807512006257,99.23716699995566,589.1986259957775,67.0,0.42328829523793443,0.0,190,310,350,370,410,500,590,590,590,590,590
POST,gateway: POST /gate/validate (valid QR),7,0,330,289.8740835714437,115.366209000058,415.4843329961295,67.0,0.11852072266662164,0.0,330,330,360,360,420,420,420,420,420,420,420
,Aggregated,311,112,350,5381.50625077171,98.96141699573491,40819.886768003926,160.00321543408361,5.265706392759904,1.8963315626659463,350,5200,5500,6100,23000,32000,36000,36000,41000,41000,41000
